month,year,caseload,
Jannuary,2020,0,
December,2019,32,
November,2019,0,
October,2019,71,
September,2019,3,
August,2019,114,
July,2019,0,
June,2019,129,
May,2019,63,
April,2019,100,
March,2019,40,
February,2019,0,
January,2019,0,
December,2018,0,
November,2018,118,
October,2018,920,
September,2018,1060,
August,2018,1703,
July,2018,415,
June,2018,523,
May,2018,0,
April,2018,625,
March,2018,259,
February,2018,18,
January,2018,2,
December,2017,34,
October,2017,14,
November,2017,0,
October,2017,22,
September,2017,34,
september,2017,0,
September,2017,0,
August,2017,0,
July,2017,0,
June,2017,0,
May,2017,0,
April,2017,0,
March,2017,0,
February,2017,0,error - manual
January,2017,0,error - manual
December,2016,0,
November,2016,0,
October,2016,0,
September,2016,0,
August,2016,0,
July,2016,0,
June,2016,0,
May,2016,0,
April,2016,0,
March,2016,0,
February,2016,0,
January,2016,0,
December,2015,0,
November,2015,0,
October,2015,0,
September,2015,0,
August,2015,0,
July,2015,0,
June,2015,0,
May,2015,0,
April,2015,0,
March,2015,0,
February,2015,0,
January,2015,0,
December,2014,0,
November,2014,0,
October,2014,0,
September,2014,0,
August,2014,0,
July,2014,0,
June,2014,0,
May,2014,0,
April,2014,0,
March,2014,0,
February,2014,0,
January,2014,0,
December,2013,0,
November,2013,0,
October,2013,0,
September,2013,0,
August,2013,0,
July,2013,0,
June,2013,0,
May,2013,0,
April,2013,0,
March,2013,0,
February,2013,0,
January,2013,0,
December,2012,0,
November,2012,0,
October,2012,0,
September,2012,0,
August,2012,0,
July,2012,0,
June,2012,0,
May,2012,1,
April,2012,0,
March,2012,0,
February,2012,0,
January,2012,0,
December,2011,0,
November,2011,0,
October,2011,0,
September,2011,0,
August,2011,0,
July,2011,0,
June,2011,0,
May,2011,0,
April,2011,0,
March,2011,0,
February,2011,0,
Janaury,2011,0,
January,2011,0,
